Molecule ChEMBL ID,Smiles,pChEMBL Value
CHEMBL3287994,Cc1cccc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCCOCC4)c3)CC2)n1,10.7
CHEMBL3287996,Cc1cccc2nc(C(=O)N[C@H]3CC[C@@H](NC(=O)c4cc(F)cnc4Oc4cccc(-c5ccc(O)cc5CN(C)C)c4)CC3)cn12,10.3
CHEMBL3288003,O=C(N[C@H]1CC[C@@H](NC(=O)c2ncccc2O)CC1)c1cc(F)cnc1Oc1cccc(-c2ccc(O)cc2CN2CCOCC2)c1,9.9
CHEMBL3288012,,
CHEMBL3288014,Cc1nc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(CN(C)C)cc4)c3)CC2)cs1,9.4
CHEMBL3288020,C[C@@H]1CN(Cc2ccc(-c3cccc(Oc4ncc(F)cc4C(=O)N[C@H]4CC[C@@H](NC(=O)c5cn6cc(F)ccc6n5)CC4)c3)cc2)C[C@H](C)N1,10
CHEMBL3288021,C[C@@H]1CN(Cc2ccc(-c3cccc(Oc4ncc(F)cc4C(=O)N[C@H]4CC[C@@H](NC(=O)c5ncccc5O)CC4)c3)cc2)C[C@H](C)N1,9.9
CHEMBL3287991,Cc1csc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCOCC4)c3)CC2)n1,10.8
CHEMBL1258806,CNc1nc2sc3c(NCCN4CCOCC4)ncnc3c2c2c1CCC(C)(C)C2,8
CHEMBL1257305,CC1(C)Cc2c(c(N3CCOCC3)nc3sc4c(NCCN5CCCCC5)ncnc4c23)CO1,6.55
CHEMBL1258238,c1nc(NCCN2CCOCC2)c2sc3nc(N4CCOCC4)c4c(c3c2n1)CCOC4,5.75
CHEMBL1257189,CC1(C)CCc2c(-c3ccoc3)nc3sc4c(NCCN5CCOCC5)ncnc4c3c2C1,8.54
CHEMBL568003,CC(C)(C)C1CCc2sc(NC(=O)c3ccccc3[N+](=O)[O-])c(C(N)=O)c2C1,5.9
CHEMBL583841,CC(C)(C)C1CCc2c(sc(NC(=O)c3ccccc3[N+](=O)[O-])c2C(N)=O)C1,7.6
CHEMBL1098192,COc1ccc2c(Nc3c(Cl)cncc3Cl)nccc2c1OC1CCCC1,6.3
CHEMBL1098502,COc1ccc2c(Nc3c(Cl)cncc3Cl)coc2c1OC1CCCC1,4.8
CHEMBL1098542,COc1ccc2c(Nc3c(Cl)cncc3Cl)cc(=O)oc2c1OCCCCCC(=O)O,7.37
CHEMBL4300171,CC1CCn2nc(C(=O)N3CCC3)c(-c3ccc(Cl)cc3)c2O1,5.53
CHEMBL5770513,COc1c(F)cc(-c2c(C(=O)N3CCC3)nn3c2OCCC3)cc1F,6.41
CHEMBL4163945,O=C(NC1CC1)c1nn2c(c1-c1ccnc(OC(F)F)c1)OCCC2,6.75
CHEMBL4174686,O=C(c1nn2c(c1-c1cccc(Cl)c1)OCCC2)N1CCC1,6.68
CHEMBL6049559,CNC(=O)c1nn2c(c1-c1ccc(Cl)c(F)c1)OCCC2,5.64
CHEMBL5948722,CCNC(=O)c1nn2c(c1-c1cc(F)c(C#N)cc1C)OCCC2,6.08
CHEMBL226630,,
CHEMBL5911850,O=C(NC1CC1)c1nc2cccnc2n1-c1ccc(F)c(Cl)c1,7.8
CHEMBL5898760,COc1cncc(-n2c(C(=O)NC3CC3)nc3cccnc32)c1,4.87
CHEMBL5981495,Cc1cc(-n2c(C(=O)NC3CC3)nc3cccnc32)c(Cl)cc1F,4.78
CHEMBL6044800,O=C(NC1CC1)c1nc2cccnc2n1C1CCOCC1,5.76
CHEMBL207996,CC(C)(c1cc(-c2cccc(C(=O)Nc3c(Cl)cncc3Cl)c2)c2ncccc2c1)S(C)(=O)=O,9.4
CHEMBL42126,COc1ccc(C(=O)Nc2c(Cl)cncc2Cl)cc1OC1CCCC1,8.52
CHEMBL5918582,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNCC(C(=O)O[C@@H]3CCN(C)C3)c3ccccc3)s2)cc1OC,8.26
CHEMBL5989940,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNC[C@](O)(C(=O)O[C@H]3CN4CCC3CC4)c3ccccc3)s2)cc1OC,8.26
CHEMBL5975424,COc1ccc([C@H](Cc2c(Cl)c[n+]([O-])cc2Cl)OC(=O)c2ccc(CNCC(C)(C(=O)OCCN(C)C)c3ccccc3)s2)cc1OC,8.26
CHEMBL5965921,Cc1ccc(-n2c(C(=O)NC3CC3)nc3cccnc32)cc1,6.65
CHEMBL5858239,COc1cc(-n2c(C(=O)NC3CC3)nc3cccnc32)ccc1F,6.52
CHEMBL5831690,Cc1ccc(-n2c(C(=O)NC3CC3)nc3cccnc32)c(F)c1,6.21
CHEMBL2069591,CCc1cc2c(C3=NNC(=O)CC3C)ccc(OC)n2n1,6.33
CHEMBL2069596,CCc1cc2c(C3=NNC(=O)C3(C)C)ccc(NC)n2n1,7.82
CHEMBL2069598,CCc1cc2c(C3=NNC(=O)C3(C)C)ccc(C(C)O)n2n1,8.47
CHEMBL2069602,COc1ccc(C2=NNC(=O)C2(C)C)c2cc(C3CC3)nn12,6.82
CHEMBL2069604,COc1ccc(C2=NNC(=O)C2(C)C)c2cc(C(F)(F)F)nn12,6.96
CHEMBL2069609,COc1ccc(C2=NNC(=O)C2(C)C)n2cc(C(F)(F)F)nc12,6.82
CHEMBL1223621,CCOc1cccc(-c2cc(COc3ccc(CCC#N)cc3)cc3cccnc23)c1,7.36
CHEMBL6009547,O=C(c1nc2cccnn2c1-c1ccc2ncoc2c1)N1CCC1,7.09
CHEMBL485629,O=C(NC1CC1)c1cn(-c2cccc(C#Cc3ccc[n+]([O-])c3)c2)c2ncccc2c1=O,8.29
CHEMBL2425756,COCc1cc2c(C(=O)Nc3c(Cl)cncc3Cl)ccc(OC)n2n1,7.89
CHEMBL2425752,COc1ccc(C(=O)Nc2c(Cl)c[n+]([O-])cc2Cl)c2cc(C(C)C)nn12,8
CHEMBL4214256,CCOc1nc2c(c(=O)n(C)c(=O)n2C)n1CCCC(=O)N/N=C/c1ccc(O)cc1O,4.79
CHEMBL4215783,Cn1c(=O)c2c(nc(NCc3ccco3)n2CCCC(=O)N/N=C/c2ccc(O)c(O)c2O)n(C)c1=O,5.13
CHEMBL4207233,Cn1c(=O)c2c(nc(NCc3ccccn3)n2CCCC(=O)N/N=C/c2ccc(O)c(O)c2O)n(C)c1=O,5.75
CHEMBL488291,CCOC(=O)c1cnc2c(cnn2CC)c1Nc1ccc(OC)cc1,6
CHEMBL488467,CCOC(=O)c1cnc2c(cnn2CCO)c1NC1CCOCC1,6.8
CHEMBL4213076,COc1cc2c(cc1OC1CCCC1)CN(C(=O)c1ccc(OC(F)(F)F)cc1)CC2,5.98
CHEMBL4209631,COc1cccc(C(=O)N2CCc3cc(OC)c(OC4CCCC4)cc3C2)c1,4.71
CHEMBL4075428,Cn1c([S+](C)[O-])nc(-c2ccc(F)cc2)c1-c1ccnc(N)c1,5.46
CHEMBL1782296,C=CCc1c(C)nc(-c2ccc(OC)cc2)nc1Nc1ccc(C(=O)O)cc1,6.66
CHEMBL1782302,C=CCc1c(C)nc(-c2ccc(OC)cc2)nc1Nc1ccc(CC(=O)O)cc1,6.22
CHEMBL2385759,CC(C)(C)CNC(=O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2S(=O)(=O)CCC3)cc1,8.33
CHEMBL2385569,O=C(O)Cc1ccc(Nc2nc(-c3ccccc3)nc3c2COC3)cc1,5.66
CHEMBL4093768,,
CHEMBL569555,Cc1coc2c1C(Nc1c(C(N)=O)cnc3ccc(S(=O)(=O)c4ccccc4)cc13)CCC2,7.9
CHEMBL570015,,
CHEMBL585528,NC(=O)c1cnc2ccc(S(=O)(=O)c3ccccc3)cc2c1Nc1ccc2ncsc2c1,8.6
CHEMBL3288023,Cc1cc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4cccc(CN5C[C@@H](C)N[C@@H](C)C5)c4)c3)CC2)nn1C,10.2
CHEMBL3287990,Cc1nc(C(=O)N[C@H]2CC[C@@H](NC(=O)c3cc(F)cnc3Oc3cccc(-c4ccc(O)cc4CN4CCCOCC4)c3)CC2)cs1,10.7
CHEMBL372575,Cc1noc(/C(=C/c2cccc(-c3cc(C(C)(C)S(C)(=O)=O)cc4cccnc34)c2)c2ccc(S(C)(=O)=O)cc2)n1,9
CHEMBL1801152,CC(C)(C)NC(=O)c1cn(-c2cccc(-c3ccc(C4CC4C(=O)O)cc3)c2)c2ncccc2c1=O,7.5
CHEMBL1801067,O=C(NC1CC1)c1cn(-c2cccc(-c3ccc(C4CC4C(=O)O)cc3)c2)c2ncccc2c1=O,8.8
CHEMBL270597,,
CHEMBL270636,CCOc1cc(/C=C2\SC(=S)NC2=O)ccc1OC,5.28
CHEMBL462150,COc1cccc(Nc2c(C(N)=O)cnc3ccc(S(C)(=O)=O)cc23)c1,8.4
